(0, 8)
(0, 17)
(1, 9)
(1, 13)
(1, 14)
(1, 17)
(1, 20)
(2, 4)
(2, 5)
(2, 8)
(2, 12)
(2, 18)
(3, 5)
(3, 10)
(3, 12)
(3, 13)
(3, 14)
(3, 15)
(4, 5)
(4, 11)
(4, 14)
(5, 1)
(5, 3)
(5, 14)
(5, 19)
(5, 20)
(6, 3)
(6, 8)
(6, 14)
(6, 19)
(7, 3)
(8, 1)
(8, 4)
(8, 8)
(8, 10)
(9, 7)
(9, 12)
(10, 3)
(10, 7)
(10, 15)
(10, 19)
(11, 20)
(12, 8)
(12, 10)
(13, 1)
(13, 11)
(14, 5)
(14, 10)
(14, 14)
(14, 16)
(14, 17)
(15, 9)
(15, 15)
(16, 1)
(16, 10)
(16, 19)
(17, 6)
(17, 10)
(17, 12)
(17, 14)
(18, 0)
(18, 6)
(18, 16)
(18, 18)
(19, 0)
(19, 2)
(19, 3)
(19, 10)
(19, 12)
(20, 2)
(20, 19)
