(0, 0)
(0, 2)
(0, 4)
(0, 5)
(0, 9)
(0, 13)
(0, 20)
(1, 1)
(1, 2)
(1, 5)
(1, 7)
(1, 8)
(1, 10)
(1, 11)
(1, 12)
(1, 15)
(1, 16)
(1, 17)
(2, 0)
(2, 6)
(2, 9)
(2, 12)
(2, 15)
(2, 16)
(2, 19)
(3, 1)
(3, 2)
(3, 4)
(3, 9)
(3, 10)
(3, 11)
(3, 12)
(3, 14)
(3, 16)
(3, 17)
(3, 18)
(3, 20)
(4, 0)
(4, 4)
(4, 5)
(4, 6)
(4, 9)
(4, 10)
(4, 11)
(4, 14)
(4, 15)
(4, 16)
(4, 20)
(5, 1)
(5, 4)
(5, 5)
(5, 9)
(5, 11)
(5, 14)
(5, 15)
(5, 18)
(5, 19)
(6, 2)
(6, 3)
(6, 5)
(6, 8)
(6, 9)
(6, 12)
(6, 14)
(7, 2)
(7, 4)
(7, 5)
(7, 6)
(7, 12)
(7, 18)
(7, 20)
(8, 4)
(8, 5)
(8, 7)
(8, 8)
(8, 10)
(8, 11)
(8, 12)
(8, 13)
(8, 17)
(8, 18)
(8, 19)
(8, 20)
(9, 1)
(9, 4)
(9, 6)
(9, 9)
(9, 10)
(9, 11)
(9, 14)
(9, 15)
(9, 16)
(9, 19)
(10, 0)
(10, 1)
(10, 9)
(10, 10)
(10, 12)
(10, 14)
(10, 15)
(10, 16)
(11, 2)
(11, 3)
(11, 4)
(11, 5)
(11, 7)
(11, 10)
(11, 16)
(11, 19)
(12, 2)
(12, 5)
(12, 6)
(12, 8)
(12, 9)
(12, 18)
(12, 19)
(12, 20)
(13, 11)
(13, 12)
(13, 14)
(13, 16)
(13, 18)
(13, 20)
(14, 4)
(14, 8)
(14, 9)
(14, 11)
(14, 12)
(14, 17)
(14, 18)
(15, 1)
(15, 3)
(15, 5)
(15, 8)
(15, 9)
(15, 12)
(15, 17)
(16, 4)
(16, 11)
(16, 12)
(16, 13)
(16, 15)
(16, 18)
(16, 20)
(17, 2)
(17, 5)
(17, 6)
(17, 8)
(17, 10)
(17, 20)
(18, 3)
(18, 6)
(18, 8)
(18, 13)
(18, 14)
(18, 16)
(19, 3)
(19, 5)
(19, 6)
(19, 13)
(19, 14)
(19, 18)
(20, 3)
(20, 6)
(20, 7)
(20, 9)
(20, 12)
(20, 16)
(20, 17)
(20, 19)
